 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 788 12 1 ZTF_g 1924304804515 0 1.7532 137.319 7.88335 26.2874 1.9976e-05 0.0317291 -0.060871 2.88495e-05 322 30. 0.097956 0.077618 20.3413 26.2874 1 2459678.8048032 788120145 1 15.6359068049645 34.8170678316744 0.499557726813824 1.14004552019591 30.3250642256167 66.2536424518352 0.460794367647335 1.0538055550431 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 10 787 9 0 ZTF_g 1924325833215 4194304 1.8006 115.628 7.63355 26.2126 3.13066e-05 0.0374225 -0.0728556 4.33695e-05 301 30. 0.091922 0.078688 20.351 26.2126 1 2459678.8258333 787120132 1 21.1414687565618 33.1435629723712 0.709562676117085 1.27129064674286 -11.4744600114389 63.6688530971558 -0.181434729822611 1.06999309278007 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 11 787 9 0 ZTF_r 1926237023215 4194304 2.8076 193.036 10.3022 26.2048 2.81181e-05 0.0352821 0.134788 3.74045e-05 305 30. 0.099009 0.089826 19.5838 26.2048 1 2459680.7370255 787120232 1 42.0062261652596 58.0215518664043 0.805339734124979 1.07068996045819 -2.90986838973143 88.5702714165923 -0.0330750541225787 1.09704157699958 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
 12 788 12 1 ZTF_r 1926239434515 0 2.7357 262.548 10.0444 26.2828 2.2568e-05 0.033651 0.134892 3.17355e-05 329 30. 0.099137 0.08809 19.7324 26.2828 1 2459680.7394329 788120245 1 40.7457698761866 56.8660775265023 0.797047229180956 1.16588451947896 32.9719552364906 88.452589326488 0.37527474893385 1.09910681325943 0.551987440985924 17.8479999542236 0.0610000006854534 4.52099990844727 0.305999994277954 2458182.832801 2458224.749641 0
 13 787 9 0 ZTF_i 1926261213215 0 3.7294 409.448 8.838 25.6717 1.24752e-05 0.0359544 0.191709 3.88278e-05 302 30. 0.125335 0.10493 18.9846 25.6717 2 2459680.7612153 787120332 1 -7.83694436073907 67.2534143069177 -0.129624539681627 0.938397882132092 -103.556936201671 89.8493712986997 -1.16032418055035 1.17137812376991 0.406091475756576 17.3470002746582 0.0659999996423721 4.44299983978271 0.331999987363815 2458174.769132 2458561.945544 0
 14 787 9 0 ZTF_g 1929287513215 4194304 3.5405 157.25 16.849 26.2497 4.84199e-05 0.0381209 -0.0324552 9.43597e-05 181 30. 0.113941 0.100568 17.2892 26.2497 1 2459683.7875116 787120132 1 85.3267234529777 212.937195851789 0.445746908252389 1.08297416187011 25.4365211319298 351.112932061033 0.0729333363340485 1.09821201925604 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 15 788 12 1 ZTF_g 1929294424515 0 2.6357 149.286 14.7325 26.3357 3.7779e-05 0.0390071 -0.0482209 7.19278e-05 230 30. 0.100643 0.083055 19.3945 26.3357 1 2459683.7944213 788120145 1 40.5539505654953 73.9827479450273 0.609758004597501 0.98780338694343 211.018452065384 117.291606690927 1.81120950999305 1.09083604308949 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 16 787 9 0 ZTF_i 1929322733215 0 2.4559 409.826 10.3926 25.6638 5.9311e-06 0.0255878 0.19092 1.90663e-05 316 30. 0.102001 0.091547 19.1853 25.6638 2 2459683.8227315 787120332 1 22.8755182854705 54.2116883673016 0.469388894835301 1.10627974625868 43.5026195196056 90.584755918538 0.483476626071327 1.09002155161975 0.406091475756576 17.3470002746582 0.0659999996423721 4.44299983978271 0.331999987363815 2458174.769132 2458561.945544 0
 17 788 12 1 ZTF_r 1929360924515 0 1.7658 265.303 15.489 26.2476 2.98092e-05 0.0381552 0.12572 4.203e-05 325 30. 0.090893 0.076547 19.6867 26.2476 1 2459683.8609259 788120245 1 -1.18152537062848 53.7443211743107 -0.0244548650641611 1.56111906005831 25.5158524435717 101.108740973126 0.254060162658528 1.05489161707344 0.551987440985924 17.8479999542236 0.0610000006854534 4.52099990844727 0.305999994277954 2458182.832801 2458224.749641 0
 18 787 9 0 ZTF_r 1929361873215 4194304 1.7497 223.627 20.1171 26.2182 2.22981e-05 0.0311105 0.124855 2.97953e-05 305 30. 0.087333 0.079448 16.6073 26.2182 1 2459683.861875 787120232 1 -8.08327682873768 35.697768723656 -0.251884348286748 1.72293288817397 -26.7786246692259 63.5892398455185 -0.423955063978939 1.06402477423729 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
